index,hgrnaNum,runtime,kc1,kc0,rf,row_num
51,100,79822.6712501049,2584.2233168116213,6659.4240384382965,2322.8,271
52,100,118165.22978448868,2879.139897166927,7477.081540008643,2461.8,382
53,100,156898.82771658897,2834.348527368509,7829.891136871987,2444.2,383
54,100,108171.16542172432,3776.755058277746,9938.386899378154,2506.4,384
55,100,156318.46215891838,2853.623989383006,7897.7460866372585,2517.4,385
56,100,123970.6757338047,2994.9494795308087,8398.481278698013,2521.8,386
57,100,109195.81377768517,3061.614501472254,7730.895940564426,2461.4,387
59,100,102412.72828269005,3066.947696597404,7539.139817258292,2370.4,389
61,100,64923.29527902603,3221.9748425642642,8119.32506661147,2356.4,391
62,100,77292.57468295097,3829.009583776501,10304.438580206801,2444,392
63,100,78583.40999984741,2858.047045846077,6336.983228489789,2306.2,393
64,100,61818.21668839455,3174.1423740218047,7246.855060581614,2432,394
65,100,56658.434321165085,3151.205301283527,7229.889685817552,2351.8,395
66,100,91675.85392284393,2848.803244143416,7245.1715028877525,2421,396
67,100,84807.4271569252,2788.5610795393145,5660.065004580343,2386.4,397
68,100,119500.35026550293,3041.9426303240884,8029.526142522857,2394.4,398
1,25,319.04515981674194,2533.698704662686,5168.34991830867,2478.4,1
2,50,4384.358647584915,2787.8169387658654,4384.703013478727,2269.4,2
2,25,297.21848487854004,2389.7970638234287,4228.90895024957,2525.6,2
3,50,17250.189079284668,3022.8421408394433,5590.713819855265,2395.6,3
3,25,310.8918025493622,2210.7542316422687,3738.9210158318106,2552.2,3
4,25,329.3811745643616,2468.7362013064308,5869.7965526465305,2476.4,4
4,50,25769.627118825912,2810.61520841165,6445.63849897887,2333.4,4
5,25,1739.9732773303986,2616.0848474040195,4124.536565049056,2443.2,5
6,50,7863.130234003067,2962.94295603159,5550.917114022631,2313.2,6
6,25,706.0596098899841,2510.2427629084095,4327.809143528253,2493.4,6
7,25,20076.522893428802,2495.187116328002,3686.487912511262,2400.4,7
8,25,298.4890720844269,1563.5965015923825,2302.0198667495547,2533.6,8
8,50,9527.846657037735,2476.5424427575963,6447.066911863193,2442,8
9,25,192.7832055091858,2160.5335586674382,3448.409033700818,2415.2,9
9,50,6864.930927038193,2491.371229793492,5254.690086970018,2279.6,9
10,25,300.0663719177246,2574.9707350489457,4953.161078287754,2368.4,10
11,25,153.13715267181396,2344.903225330418,4655.136364897969,2486.2,11
12,25,285.19160652160645,2590.2385219462617,4610.918640744455,2451.6,12
12,50,15178.16917347908,2465.7999093006865,4659.699152719987,2252.4,12
13,25,271.76365518569946,2049.4576509886597,2898.5047519387367,2434,13
13,50,14646.757667779922,2785.318488787545,6350.99601168933,2349,13
14,25,324.44123911857605,1979.0803360041627,3751.2773455120255,2333.6,14
14,50,17403.653740167618,2000.7004156858352,4694.963932348509,2221.2,14
15,25,389.3847653865814,2141.7376358563392,4176.313171535938,2434.8,15
16,25,185.99248433113098,2605.033559962489,7263.500470755527,2578.6,16
16,50,16708.68958711624,3543.8450563413307,9949.05648354334,2177.8,16
17,25,278.80227279663086,2478.083684554889,4517.939803880674,2415.6,17
17,50,2476.712174654007,2835.257225572541,6340.451652467243,2308.8,17
18,50,21764.258351802826,2898.134694203178,5113.863521325831,2383.6,128
18,25,321.0704400539398,2404.5816788818597,3659.431557881241,2417.8,128
19,50,2812.6570999622345,2992.209890832333,6125.403076634288,2307.8,129
19,25,214.30663323402405,2232.3617030615947,4390.81161114741,2470.8,129
20,25,568.9509699344635,2633.8733970967514,5305.7865682698675,2416.2,130
21,25,252.17319226264954,2041.766673591325,3583.3184946163333,2389.4,131
21,50,2989.0680289268494,2625.4006973914297,4378.28049852951,2205.2,131
22,25,334.4440281391144,2027.809511186505,2955.7228080321756,2391.4,132
22,50,22343.306084156036,2355.6889760887584,3140.274356532124,2341.4,132
23,25,326.2079553604126,2359.256042665185,3528.477207066584,2336,133
23,50,14755.45203614235,2537.05467278974,4742.116133043852,2198.6,133
24,25,493.02054953575134,1876.1503675193167,2666.6815359733714,2367,134
24,50,23659.781579256058,2237.9115076189964,3649.425052363387,2313.6,134
25,50,19337.010739326477,2828.1594940575783,5159.360654088996,2291.8,135
25,25,263.567754983902,2361.465693998973,3348.0851398770856,2331,135
26,25,260.2033038139343,2828.6220723681017,4831.0158248510525,2438.6,136
26,50,3953.406193971634,2685.580220465055,3979.9766678029278,2313.8,136
27,25,167.72295451164246,2665.5349047734567,4719.755997350873,2323.2,137
27,50,8379.419381141663,3164.431805693728,6481.320122845979,2308.2,137
28,50,14999.330027580261,2822.3926279915677,5384.355253097684,2328.8,138
28,25,525.6038618087769,2754.6429900994362,3789.122590285974,2457,138
29,25,702.3765161037445,1720.2179421519409,1911.449683282594,2247,139
29,50,15282.19529247284,2525.785920118197,4101.559528085019,2248,139
30,50,18452.43679666519,2956.3816027637477,5203.131548480905,2418.6,140
30,25,1042.206971168518,2346.360654718391,3637.3269447104685,2588.6,140
31,25,838.8914642333984,1705.0669613166679,2004.3681253662298,2466.4,141
31,50,11050.222722768784,2624.957422738518,3888.401436350828,2272.2,141
32,25,1181.0254096984863,2032.5706463216675,3001.9920569853966,2340,142
33,25,13519.66745185852,2547.975509365691,4859.611956515943,2345.8,143
34,25,1028.9416472911835,3156.741844702625,4495.289353649511,2193.2,144
35,25,748.3675887584686,2764.4175697679707,4879.033894083754,2439.6,255
36,25,804.968320608139,2065.174210309808,2930.6599350616,2365,256
36,50,15622.185863733292,2665.108040348152,4326.454428318041,2221,256
37,25,555.3767414093018,2301.3684060786345,3591.5983714528174,2644.2,257
38,25,748.0139508247375,2215.124437118388,3426.8179478497286,2484.6,258
39,25,1003.3031439781189,2269.3032528097915,3089.8388909152486,2433.2,259
39,50,13020.492062091827,2398.4184055337546,4436.886788558994,2400.2,259
40,50,17748.206247329712,2560.150171577341,4196.824903474241,2241,260
40,25,543.6195130348206,1728.7277040563722,2783.029881314851,2472.4,260
41,25,8888.50661444664,2485.7744470273183,6458.978900326873,2430.2,261
42,25,13159.355021238327,1932.2971326789261,4501.612252758725,2391,262
42,50,2517.3774960041046,2504.821460685566,6060.595597872237,2285.2,262
43,25,958.5486979484558,2190.4382236736587,3939.040584688353,2455.6,263
43,50,9165.491132259369,2344.100606772115,5929.583768249238,2234.2,263
44,25,547.3126299381256,2207.1339045851864,4655.890312618467,2332.8,264
44,50,7114.5805904865265,2540.5689286118204,5762.650973559448,2177,264
45,25,351.583034992218,2360.300379801369,5351.3068283197845,2531,265
46,25,13191.054617643356,1968.8050058853735,3708.038678216492,2344,266
47,25,646.1740310192108,2209.4781329584916,3220.97803585545,2236.8,267
